id,user_id,title,created_at,updated_at
019cf78a-7dc8-7110-8485-3236f6996b6a,019cf78a-200a-7283-80bf-86aa22de75de,"I don't have live weather data,",2026-03-16 17:46:14.47238+01,2026-03-16 17:46:30.048612+01
019cf790-a263-7270-b60a-f16fc965226e,019cf78a-200a-7283-80bf-86aa22de75de,Evaluating weather conditions,2026-03-16 17:52:57.059234+01,2026-03-16 18:14:21.693661+01
019cf799-cfe3-7f41-bcfc-783e0032d0e7,019cf78a-200a-7283-80bf-86aa22de75de,Today's weather inquiry,2026-03-16 18:02:58.531303+01,2026-03-16 18:03:00.907003+01
019cfac0-db0b-7b62-996c-2206105d3bff,019cf78a-200a-7283-80bf-86aa22de75de,Building Zed on Linux,2026-03-17 08:44:28.939176+01,2026-03-17 11:44:00.977126+01
019cfac5-241a-7570-be5f-e2ce159672b7,019cf78a-200a-7283-80bf-86aa22de75de,Amsterdam weather today,2026-03-17 08:49:09.786887+01,2026-03-17 08:49:10.15692+01
019cfb58-1520-7843-b654-8089d478a46c,019cf78a-200a-7283-80bf-86aa22de75de,A GitHub pull request page for,2026-03-17 11:29:39.744546+01,2026-03-17 11:29:54.118033+01
019cfb63-d4cb-7333-b95b-888777e4390d,019cf78a-200a-7283-80bf-86aa22de75de,Eurora AI platform overview,2026-03-17 11:42:29.70767+01,2026-03-17 11:44:55.189392+01
019cfb66-4ac7-7890-8a14-decd62bed09c,019cf78a-200a-7283-80bf-86aa22de75de,Eurora AI platform overview,2026-03-17 11:45:10.983896+01,2026-03-17 11:45:29.237543+01
019cfb6b-a51f-7423-868c-8f9290d7d3ba,019cf78a-200a-7283-80bf-86aa22de75de,Summarizing Eurora CI build status,2026-03-17 11:51:01.791617+01,2026-03-17 11:51:17.994176+01
019cfb6d-1307-78d1-aaa7-d85b43f0f148,019cf78a-200a-7283-80bf-86aa22de75de,Summarizing Eurora Labs CI Status,2026-03-17 11:52:35.463312+01,2026-03-18 16:13:18.911095+01
